ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,Distance(mi),Description,Street,Side,City,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-256973,MapQuest,201.0,3,2016-06-24 08:50:31,2016-06-24 09:20:31,40.188373999999996,-80.247787,0.0,Accident on I-79 I-70 Eastbound at Exit 18.,I-70 E,R,Washington,15301,US,US/Eastern,KAFJ,2016-06-24 08:55:00,69.8,,88.0,30.02,5.0,NE,3.5,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-257124,MapQuest,241.0,3,2016-06-27 06:42:19,2016-06-27 07:27:19,38.882214000000005,-77.028603,0.0,Lane blocked due to accident on I-395 Westbound at Exits 3 4 Frontage Rd.,I-395 S,R,Washington,20024,US,US/Eastern,KDCA,2016-06-27 06:52:00,69.1,,90.0,30.1,10.0,South,10.4,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-257125,MapQuest,201.0,2,2016-06-27 06:47:09,2016-06-27 07:32:09,38.889317,-76.959663,0.0,Accident on DC-295 Anacostia Fwy Southbound at Capitol St.,Anacostia Fwy S,R,Washington,20019,US,US/Eastern,KWBC,2016-06-27 06:37:00,,,,,,North,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-257160,MapQuest,241.0,2,2016-06-27 10:06:14,2016-06-27 10:51:14,38.88493,-77.034088,0.0,Lane blocked due to accident on Maine Ave Westbound around US-1 14th St.,Maine Ave SW,L,Washington,20024,US,US/Eastern,KDCA,2016-06-27 09:52:00,77.0,,71.0,30.09,10.0,South,12.7,,Scattered Clouds,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-257161,MapQuest,247.0,3,2016-06-27 10:10:34,2016-06-27 10:55:34,38.863056,-76.999565,0.0,Delays due to accident on I-295 Northbound at Exits 3A 3B Suitland Pkwy.,Suitland Pkwy E,R,Washington,20020,US,US/Eastern,KWBC,2016-06-27 09:00:00,,,,,,North,,,,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-257262,MapQuest,241.0,2,2016-06-28 08:08:57,2016-06-28 08:53:57,38.912643,-77.020981,0.0,Lane blocked due to accident on R St Northbound at Rhode Island Ave.,R St NW,R,Washington,20001,US,US/Eastern,KDCA,2016-06-28 07:52:00,75.0,,90.0,29.94,10.0,SSW,4.6,,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-257266,MapQuest,245.0,3,2016-06-28 08:29:55,2016-06-28 09:14:55,38.869469,-76.988632,0.0,Two lanes blocked and delays due to vehicle fire and accident on I-295 Northbound between Exit 3B Howard Rd and Exits 5A 5B I-695.,11th St SE,R,Washington,20020,US,US/Eastern,KWBC,2016-06-28 08:16:00,,,,,,North,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-257385,MapQuest,201.0,2,2016-06-29 07:07:54,2016-06-29 07:52:54,38.887566,-77.027878,0.0,Accident on Independence Ave at 12th St.,12th St NW,R,Washington,20004,US,US/Eastern,KDCA,2016-06-29 06:52:00,70.0,,81.0,29.93,10.0,NNW,12.7,,Partly Cloudy,False,False,True,False,False,False,False,False,True,False,False,True,False,Day,Day,Day,Day
A-257387,MapQuest,201.0,2,2016-06-29 07:25:16,2016-06-29 08:15:28,38.902363,-76.943741,0.0,Accident on DC-295 Kenilworth Ave Southbound at DC-295 Kenilworth Ave.,Nannie Helen Burroughs Ave NE,L,Washington,20019,US,US/Eastern,KWBC,2016-06-29 07:14:00,,,,,,North,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-257426,MapQuest,241.0,2,2016-06-29 08:59:34,2016-06-29 09:44:34,38.908909,-77.00458499999999,0.0,Lane blocked due to accident on Florida Ave at US-1 Alt New York Ave.,Florida Ave NE,R,Washington,20002,US,US/Eastern,KDCA,2016-06-29 08:52:00,75.0,,66.0,29.96,10.0,North,12.7,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-257578,MapQuest,241.0,3,2016-06-30 08:16:57,2016-06-30 09:01:57,38.863056,-76.999565,0.0,Lane blocked due to accident on I-295 Northbound at Exits 3A 3B Suitland Pkwy.,Suitland Pkwy E,R,Washington,20020,US,US/Eastern,KWBC,2016-06-30 08:00:00,,,,,,North,,,,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-257706,MapQuest,201.0,2,2016-06-30 19:00:58,2016-06-30 19:45:58,40.162533,-80.232552,0.0,Accident on Murray Ave at Bob Ave.,Bob Ave,L,Washington,15301-5206,US,US/Eastern,KAFJ,2016-06-30 18:55:00,77.0,,41.0,30.02,10.0,South,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-257742,MapQuest,201.0,2,2016-07-01 07:53:53,2016-07-01 08:53:53,38.905041,-77.071045,0.0,Accident on Canal Rd Eastbound in Washington.,Canal Rd NW,L,Washington,20007,US,US/Eastern,KDCA,2016-07-01 07:52:00,73.9,,87.0,29.98,10.0,SE,4.6,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-257767,MapQuest,201.0,3,2016-07-01 10:19:31,2016-07-01 11:04:31,38.872349,-76.990143,0.0,Accident on I-695 Northbound near Exits 2A 2B I-295.,I-695 S,R,Washington,20003,US,US/Eastern,KDCA,2016-07-01 09:52:00,77.0,,82.0,29.97,10.0,South,4.6,0.0,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-257816,MapQuest,201.0,3,2016-07-02 15:53:47,2016-07-02 16:38:47,38.879242,-77.035889,0.0,Left hand shoulder closed due to accident on I-395 Northbound at Exits 1 2 US-1.,US-1 N,R,Washington,20024,US,US/Eastern,KDCA,2016-07-02 15:52:00,79.0,,39.0,30.08,10.0,North,11.5,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-257979,MapQuest,201.0,2,2016-07-05 08:39:54,2016-07-05 09:09:54,40.262527,-80.317856,0.0,Accident on SR 4045 Red Fox Rd both ways between Oakridge Ln and PA-18 Henderson Rd.,Henderson Rd,L,Washington,15301-8278,US,US/Eastern,KAFJ,2016-07-05 08:35:00,69.8,,94.0,29.93,10.0,West,3.5,,Overcast,False,False,False,False,False,False,False,False,False,True,False,False,False,Day,Day,Day,Day
A-258234,MapQuest,201.0,2,2016-07-07 05:46:08,2016-07-07 06:31:08,38.912144,-76.992233,0.0,Accident on 9th St at Brentwood Pkwy.,9th St NE,R,Washington,20002,US,US/Eastern,KDCA,2016-07-07 05:52:00,77.0,,94.0,29.82,8.0,SSW,4.6,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-258249,MapQuest,241.0,2,2016-07-07 08:02:09,2016-07-07 08:47:09,38.908455,-77.005882,0.0,Lane blocked due to accident on US-50 New York Ave Eastbound at US-1 Alt New York Ave.,1st St NE,R,Washington,20002,US,US/Eastern,KDCA,2016-07-07 07:52:00,80.1,,85.0,29.86,10.0,SE,4.6,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-258261,MapQuest,241.0,3,2016-07-07 08:49:29,2016-07-07 09:34:29,38.882362,-77.013885,0.0,Lane blocked and shoulder blocked due to accident on I-695 Southwest Fwy Westbound at I-395.,I-395 N,R,Washington,20024,US,US/Eastern,KDCA,2016-07-07 08:52:00,86.0,,59.0,29.86,10.0,WNW,8.1,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-258306,MapQuest,201.0,2,2016-07-07 15:19:26,2016-07-07 16:49:26,38.927566999999996,-77.103401,0.0,Accident on Arizona Ave Eastbound at MacArthur Blvd.,Arizona Ave NW,R,Washington,20016-3401,US,US/Eastern,KDCA,2016-07-07 14:52:00,90.0,,54.0,29.8,10.0,North,10.4,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-258308,MapQuest,201.0,3,2016-07-07 15:31:08,2016-07-07 17:01:08,38.882355,-77.019539,0.0,Accident on I-695 Southwest Fwy Westbound at I-395.,I-395 N,R,Washington,20024,US,US/Eastern,KDCA,2016-07-07 15:52:00,93.0,,47.0,29.79,10.0,West,8.1,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-258384,MapQuest,201.0,2,2016-07-08 07:25:10,2016-07-08 07:55:10,38.895088,-76.953041,0.0,Accident on DC-295 Anacostia Fwy Southbound at 36th St.,Kenilworth Ave S,R,Washington,20019,US,US/Eastern,KWBC,2016-07-08 08:38:00,,,,,,North,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-258421,MapQuest,241.0,2,2016-07-08 10:06:03,2016-07-08 10:51:03,38.896065,-76.951874,0.0,Lane blocked due to accident on DC-295 Anacostia Fwy Southbound at Benning Rd.,Kenilworth Ave S,R,Washington,20019,US,US/Eastern,KWBC,2016-07-08 10:00:00,,,,,,North,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-258474,MapQuest,201.0,3,2016-07-08 15:42:40,2016-07-08 17:12:40,38.87904,-77.033615,0.0,Accident on I-395 Eastbound at Exits 1 2 US-1.,I-395 N,R,Washington,20024,US,US/Eastern,KDCA,2016-07-08 15:52:00,82.0,,76.0,29.79,8.0,NW,24.2,0.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-258630,MapQuest,241.0,2,2016-07-11 10:36:27,2016-07-11 11:22:05,38.892075,-77.023888,0.0,One lane blocked and delays due to accident on 9th St at US-50 Constitution Ave.,Constitution Ave NW,R,Washington,20004,US,US/Eastern,KDCA,2016-07-11 10:52:00,81.0,,49.0,30.13,10.0,Variable,3.5,,Scattered Clouds,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-258761,MapQuest-Bing,241.0,2,2016-07-12 07:37:11,2016-07-12 08:07:11,38.877022,-76.978439,0.0,One lane blocked due to accident on Pennsylvania Ave Eastbound at Anacostia River.,Pennsylvania Ave SE,R,Washington,20003,US,US/Eastern,KDCA,2016-07-12 07:52:00,73.9,,82.0,30.12,10.0,SE,3.5,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-258962,MapQuest,201.0,3,2016-07-13 14:58:38,2016-07-13 16:28:38,38.882366,-77.01545,0.0,Accident on I-395 Southbound near Exits 5 6 I-695 Southwest Fwy.,I-395 N,R,Washington,20024,US,US/Eastern,KDCA,2016-07-13 14:52:00,87.1,,61.0,30.01,10.0,SSE,8.1,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-258990,MapQuest,201.0,3,2016-07-14 05:52:12,2016-07-14 06:37:12,38.894073,-77.053207,0.0,Left hand shoulder blocked due to accident on I-66 Eastbound at US-50 Constitution Ave.,I-66 E,R,Washington,20037,US,US/Eastern,KDCA,2016-07-14 05:52:00,75.0,,84.0,29.95,10.0,SSW,3.5,,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-259017,MapQuest,201.0,2,2016-07-14 07:36:06,2016-07-14 08:21:06,38.896515,-76.957497,0.0,Accident on Kenilworth Ave Southbound at Benning Rd.,Kenilworth Ave NE,R,Washington,20019,US,US/Eastern,KWBC,2016-07-14 07:16:00,,,,,,North,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-259036,MapQuest,201.0,2,2016-07-14 09:43:48,2016-07-14 10:28:48,38.902363,-76.943741,0.0,Accident on DC-295 Kenilworth Ave Northbound near DC-295 Kenilworth Ave.,Nannie Helen Burroughs Ave NE,L,Washington,20019,US,US/Eastern,KWBC,2016-07-14 10:37:00,,,,,,North,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-259065,MapQuest,241.0,2,2016-07-14 12:21:59,2016-07-14 13:06:59,38.895664000000004,-76.95174399999999,0.0,Lane blocked due to accident on DC-295 Anacostia Fwy Southbound at 36th St.,Kenilworth Ave S,R,Washington,20019,US,US/Eastern,KWBC,2016-07-14 11:31:00,,,,,,North,,,,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-259189,MapQuest,241.0,2,2016-07-15 10:40:51,2016-07-15 11:25:51,38.895523,-76.952377,0.0,Lane blocked due to accident on DC-295 Anacostia Fwy Southbound at 36th St.,Kenilworth Ave S,R,Washington,20019,US,US/Eastern,KWBC,2016-07-15 11:00:00,,,,,,North,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-259382,MapQuest,201.0,3,2016-07-18 18:42:10,2016-07-18 20:12:10,38.882346999999996,-77.019592,0.0,Accident on I-395 Southbound at Exits 5 6 I-695 Southwest Fwy.,I-395 N,R,Washington,20024,US,US/Eastern,KDCA,2016-07-18 18:52:00,78.1,,79.0,30.06,10.0,West,4.6,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-259393,MapQuest,241.0,3,2016-07-18 20:38:35,2016-07-18 22:08:35,38.887562,-77.031891,0.0,ALL lane blocked due to accident on US-1 14th St both ways at Independence Ave.,14th St SW,R,Washington,20004,US,US/Eastern,KDCA,2016-07-18 20:52:00,77.0,,88.0,30.08,10.0,South,6.9,,Mostly Cloudy,False,False,True,False,False,False,False,False,True,False,False,True,False,Night,Day,Day,Day
A-259399,MapQuest,201.0,2,2016-07-19 04:45:28,2016-07-19 05:15:28,38.901924,-76.942596,0.0,Accident on Nannie Helen Burroughs Ave near Minnesota Ave.,Nannie Helen Burroughs Ave NE,L,Washington,20019,US,US/Eastern,KWBC,2016-07-19 05:00:00,,,,,,North,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Day
A-259402,MapQuest,201.0,3,2016-07-19 05:56:25,2016-07-19 06:41:25,38.878658,-76.99498,0.0,Accident on I-695 anticlockwise at Exits 1C 1D Southeast Blvd.,8th St SE,R,Washington,20003,US,US/Eastern,KDCA,2016-07-19 05:52:00,73.0,,90.0,30.12,10.0,South,3.5,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-259550,MapQuest,241.0,2,2016-07-20 09:22:29,2016-07-20 10:07:29,38.900729999999996,-77.05690799999999,0.0,Lane blocked due to accident on Rock Creek Pkwy Southbound at Virginia Ave.,Virginia Ave NW,R,Washington,20037,US,US/Eastern,KDCA,2016-07-20 08:52:00,75.9,,74.0,30.21,10.0,North,8.1,,Partly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-259556,MapQuest,241.0,3,2016-07-20 10:10:20,2016-07-20 10:55:20,38.894791,-77.01409100000001,0.0,Lane blocked due to accident on I-395 Westbound after Exits 9 10 D St.,I-395 N,R,Washington,20001,US,US/Eastern,KDCA,2016-07-20 09:52:00,79.0,,69.0,30.22,10.0,NNE,6.9,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-259748,MapQuest,201.0,3,2016-07-21 15:13:44,2016-07-21 16:43:44,38.845093,-77.007225,0.0,Accident on I-295 Southbound at Exit 2 Malcolm X Ave.,I-295 N,R,Washington,20032,US,US/Eastern,KDCA,2016-07-21 14:52:00,87.1,,46.0,30.12,10.0,South,11.5,,Scattered Clouds,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-260126,MapQuest,201.0,3,2016-07-25 19:00:14,2016-07-25 20:30:14,38.882084000000006,-77.021286,0.0,Accident on I-695 Southwest Fwy Eastbound at I-395.,6th Pl SW,R,Washington,20024-2433,US,US/Eastern,KDCA,2016-07-25 18:52:00,93.9,,47.0,29.86,10.0,SW,12.7,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-260172,MapQuest,203.0,3,2016-07-26 08:03:51,2016-07-26 09:18:51,38.891872,-77.064865,0.0,Queueing traffic and right hand shoulder and right lane blocked due to multi-vehicle accident on I-66 Eastbound at George Washington Memorial Pkwy.,I-66 W,R,Washington,20037,US,US/Eastern,KDCA,2016-07-26 07:52:00,82.9,,72.0,29.96,10.0,North,6.9,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-260299,MapQuest,201.0,3,2016-07-26 19:15:19,2016-07-26 20:45:19,38.845581,-77.007538,0.0,Accident on I-295 Southbound at Exit 2 Capitol St.,I-295 S,R,Washington,20032,US,US/Eastern,KDCA,2016-07-26 18:52:00,91.9,,41.0,29.91,10.0,NNW,9.2,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-260320,MapQuest,241.0,2,2016-07-27 06:35:19,2016-07-27 07:35:19,38.874702,-77.04077099999999,0.0,Lane blocked and delays due to accident on I-395 Northbound at Exits 10B 10C George Washington Memorial Pkwy.,I-395 N,R,Washington,20024,US,US/Eastern,KDCA,2016-07-27 06:52:00,81.0,,77.0,29.95,10.0,NNW,6.9,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-260330,MapQuest,241.0,2,2016-07-27 07:24:08,2016-07-27 08:24:08,38.905651,-77.03653,0.0,Lane blocked due to accident on 16th St Southbound at M St. No recent updates.,M St NW,R,Washington,20036,US,US/Eastern,KDCA,2016-07-27 07:52:00,82.9,,69.0,29.96,10.0,North,8.1,,Scattered Clouds,False,False,True,False,False,False,False,False,True,False,False,True,False,Day,Day,Day,Day
A-260453,MapQuest,201.0,2,2016-07-27 17:14:12,2016-07-27 18:44:12,38.87785,-77.009148,0.0,Accident on Capitol St Southbound at St.,S Capitol St SW,R,Washington,20003,US,US/Eastern,KDCA,2016-07-27 16:52:00,93.0,,44.0,29.9,10.0,East,6.9,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-260516,MapQuest,247.0,2,2016-07-28 07:39:29,2016-07-28 08:24:29,38.908398,-77.091499,0.0,Delays due to accident on Canal Rd Northbound at Clark Pl.,Canal Rd NW,L,Washington,20007,US,US/Eastern,KDCA,2016-07-28 07:52:00,84.0,,72.0,29.91,10.0,SSE,3.5,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-260706,MapQuest,247.0,2,2016-07-29 06:57:55,2016-07-29 08:12:55,38.930538,-77.430038,0.0,Delays right hand shoulder blocked and right lane blocked due to accident on VA-28 Sully Rd Southbound at McLearen Rd.,Sully Rd S,R,Washington,20041,US,US/Eastern,KIAD,2016-07-29 06:52:00,72.0,,93.0,29.86,7.0,NNW,9.2,,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-260718,MapQuest,247.0,2,2016-07-29 07:58:10,2016-07-29 08:58:10,38.882346999999996,-77.020691,0.0,Delays due to accident on I-695 Southwest Fwy Eastbound at I-395.,I-395 N,R,Washington,20024,US,US/Eastern,KDCA,2016-07-29 07:52:00,75.0,,87.0,29.87,10.0,North,12.7,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-260939,MapQuest,241.0,2,2016-08-01 08:57:30,2016-08-01 10:12:30,38.916798,-77.009033,0.0,Lane blocked and queueing traffic due to accident on US-1 Rhode Island Ave Inbound at Capitol St.,Rhode Island Ave,R,Washington,20002,US,US/Eastern,KDCA,2016-08-01 08:52:00,82.0,,71.0,30.04,10.0,NNE,4.6,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-327341,MapQuest,201.0,2,2017-02-06 10:12:34,2017-02-06 10:42:24,40.749828,-74.978027,0.01,Accident on NJ-31 at Springtown Rd.,Springtown Rd,R,Washington,07882,US,US/Eastern,KSMQ,2017-02-06 09:53:00,41.0,38.0,41.0,30.14,10.0,North,4.6,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-327800,MapQuest,201.0,2,2017-02-08 11:43:25,2017-02-08 12:14:39,40.722248,-74.971558,0.01,Accident on NJ-31 near County Hwy-632 Asbury Anderson Rd.,E Asbury Anderson Rd,R,Washington,07882-4040,US,US/Eastern,KSMQ,2017-02-08 11:53:00,61.0,,54.0,29.65,10.0,WNW,9.2,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-329222,MapQuest,247.0,3,2017-01-27 06:05:24,2017-01-27 06:49:22,38.882214000000005,-77.028603,0.01,Delays due to accident on I-395 Northbound at 12th St.,I-395 S,R,Washington,20024,US,US/Eastern,KDCA,2017-01-27 05:52:00,42.1,34.5,49.0,29.83,10.0,WNW,15.0,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-329231,MapQuest,201.0,2,2017-01-27 06:48:26,2017-01-27 07:48:43,38.914103999999995,-77.016808,0.01,Accident on US-1 Rhode Island Ave at Florida Ave.,Rhode Island Ave NW,L,Washington,20001-1826,US,US/Eastern,KDCA,2017-01-27 06:52:00,41.0,33.9,49.0,29.85,10.0,NW,12.7,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-329385,MapQuest,201.0,2,2017-01-29 09:11:05,2017-01-29 09:56:05,38.887577,-77.01664699999999,0.01,Accident on Independence Ave both ways at Maryland Ave.,Maryland Ave SW,R,Washington,20004,US,US/Eastern,KDCA,2017-01-29 08:52:00,39.9,35.8,58.0,29.81,10.0,NW,5.8,,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-329551,MapQuest,201.0,2,2017-01-30 10:37:31,2017-01-30 11:22:11,38.945065,-77.036423,0.29,Accident on 16th St between Varnum St and Allison St.,Allison St NW,L,Washington,20011-7016,US,US/Eastern,KCGS,2017-01-30 10:43:00,32.0,24.2,75.0,29.89,10.0,West,9.2,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-329672,MapQuest,245.0,2,2017-01-31 06:58:35,2017-01-31 07:43:18,38.90712,-77.00904799999999,0.01,Two lanes blocked due to accident on Capitol St Northbound at M St.,N Capitol St NE,R,Washington,20002,US,US/Eastern,KDCA,2017-01-31 06:52:00,34.0,25.5,52.0,29.93,9.0,South,11.5,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Day,Day,Day
A-329711,MapQuest,201.0,2,2017-01-31 10:03:46,2017-01-31 10:47:40,38.888493,-77.05233,0.01,Center lane blocked due to accident on Arlington Memorial Brg Inbound at Lincoln Memorial Cir.,Ohio Dr SW,R,Washington,20024,US,US/Eastern,KDCA,2017-01-31 09:52:00,39.9,32.5,49.0,29.83,10.0,SSW,12.7,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-329818,MapQuest,201.0,2,2017-02-01 07:07:02,2017-02-01 07:52:15,38.875568,-76.97551,0.01,Right lane blocked due to accident on Pennsylvania Ave Eastbound at John Phillip Sousa Bridge.,Pennsylvania Ave SE,R,Washington,20020,US,US/Eastern,KWBC,2017-02-01 06:00:00,,,,,,North,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-329823,MapQuest,201.0,2,2017-02-01 07:37:41,2017-02-01 08:07:31,40.178084999999996,-80.245613,0.0,Accident on Burton Ave at Hallam Ave.,Burton Ave,L,Washington,15301-4008,US,US/Eastern,KAFJ,2017-02-01 07:35:00,33.8,25.8,93.0,29.97,6.0,SW,10.4,0.01,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-329843,MapQuest,201.0,2,2017-02-01 08:15:54,2017-02-01 09:01:26,38.894615,-77.002045,0.01,Left lane blocked due to accident on 3rd St Northbound after Massachusetts Ave.,Massachusetts Ave NE,L,Washington,20002-4941,US,US/Eastern,KDCA,2017-02-01 07:52:00,37.9,33.5,86.0,30.01,10.0,South,5.8,,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-329844,MapQuest,241.0,2,2017-02-01 08:17:09,2017-02-01 09:02:32,38.917233,-76.978157,0.01,Lane blocked due to accident on US-50 New York Ave Outbound at Montana Ave.,New York Ave NE,R,Washington,20002,US,US/Eastern,KDCA,2017-02-01 07:52:00,37.9,33.5,86.0,30.01,10.0,South,5.8,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-329863,MapQuest,201.0,3,2017-02-01 09:17:45,2017-02-01 10:03:07,38.894791,-77.01409100000001,0.01,Center lane blocked due to accident on I-395 Westbound at 3rd St.,I-395 N,R,Washington,20001,US,US/Eastern,KDCA,2017-02-01 08:52:00,41.0,37.1,82.0,30.01,10.0,SSE,5.8,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-329908,MapQuest,201.0,3,2017-02-01 15:33:04,2017-02-01 16:02:38,38.876521999999994,-76.990768,0.01,Right hand shoulder closed due to accident on I-695 Southbound near Exit 2 M St.,I-695 N,R,Washington,20003,US,US/Eastern,KDCA,2017-02-01 15:52:00,48.9,,43.0,29.99,10.0,Calm,,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-329913,MapQuest,241.0,3,2017-02-01 15:47:28,2017-02-01 16:16:25,38.924797,-77.10714,0.01,Lane blocked due to accident on Canal Rd at Arizona Ave.,Canal Rd NW,R,Washington,20016,US,US/Eastern,KDCA,2017-02-01 15:52:00,48.9,,43.0,29.99,10.0,Calm,,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-329973,MapQuest,201.0,3,2017-02-02 06:25:44,2017-02-02 07:11:21,38.894073,-77.053207,0.01,Shoulder closed due to accident on I-66 Eastbound after US-50.,I-66 E,R,Washington,20037,US,US/Eastern,KDCA,2017-02-02 06:52:00,41.0,38.0,67.0,30.14,10.0,SSW,4.6,,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-329975,MapQuest,201.0,3,2017-02-02 06:24:19,2017-02-02 07:09:27,38.880657,-77.002144,0.01,Right lane blocked due to accident on I-695 Eastbound near 3rd St.,3rd St SE,L,Washington,20003,US,US/Eastern,KDCA,2017-02-02 06:52:00,41.0,38.0,67.0,30.14,10.0,SSW,4.6,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Day,Day
A-329976,MapQuest,201.0,2,2017-02-02 06:25:07,2017-02-02 07:10:42,38.852965999999995,-76.984245,0.01,Right lane blocked due to accident on Suitland Pkwy Inbound at Stanton Rd.,Suitland Pkwy E,R,Washington,20020,US,US/Eastern,KWBC,2017-02-02 06:17:00,,,,,,North,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
